LOCATION;math;read;sci
AUS;494;503;510
AUT;497;485;495
BEL;507;499;502
BRA;377;407;401
CAN;516;527;528
CHE;521;492;506
CHL;423;459;447
COL;390;425;416
CZE;492;487;493
DEU;506;509;509
DNK;511;500;502
ESP;486;496;493
EST;520;519;534
FIN;511;526;531
FRA;493;499;495
GBR;492;498;509
GRC;454;467;455
HKG;548;527;523
HUN;477;470;477
IDN;386;397;403
IRL;504;521;503
ISL;488;482;473
ISR;470;479;467
ITA;490;485;481
JPN;532;516;538
KOR;524;517;516
LUX;486;481;483
LVA;482;488;490
MAC;544;509;529
MEX;408;423;416
NLD;512;503;509
NOR;502;513;498
NZL;495;509;513
OAVG;490;493;493
PER;387;398;397
POL;504;506;501
PRT;492;498;501
RUS;494;495;
SGP;564;535;556
SVK;475;453;461
SVN;510;505;513
SWE;494;500;493
TUR;420;428;425
TWN;542;497;532
USA;470;497;496
