iyear;imonth;iday;Date;country_txt;provstate;city;latitude;longitude;location;summary;multiple;success;suicide;attacktype1_txt;targtype1_txt;targsubtype1_txt;target1;gname;weaptype1_txt;weapdetail;nkill
1970;4;25;25.4.1970;Turkey;Istanbul;Istanbul;41.014836;28.961414;;;0;1;0;Bombing/Explosion;Airports & Aircraft;Airline Officer/Personnel;EL AL Office;Palestinians;Explosives/Bombs/Dynamite;Explosive;0
1970;8;31;31.8.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Military;Military Unit/Patrol/Convoy;TUSLOG Detachment 30, USAF;Turkish People's Liberation Army;Explosives/Bombs/Dynamite;Explosive;0
1970;10;2;2.10.1970;Turkey;Izmir;Izmir;38.423708;27.134205;;;0;1;0;Bombing/Explosion;Military;Military Barracks/Base/Headquarters/Checkpost;U.S. Air Force Commissary;Turkish People's Liberation Front (TPLF)(THKP-C);Explosives/Bombs/Dynamite;Dynamite;0
1970;10;3;3.10.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Government (Diplomatic);Embassy/Consulate;USIS Office;Unknown;Explosives/Bombs/Dynamite;Explosive;
1970;10;3;3.10.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Business;.;building, U.S. Element Cento;Turkish People's Liberation Army;Explosives/Bombs/Dynamite;Explosive;0
1970;10;6;6.10.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;0;0;Armed Assault;Military;Military Transportation/Vehicle (excluding convoys);vehicle, USAF member;Turkish People's Liberation Army;Incendiary;Incendiary;0
1970;10;27;27.10.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Military;Military Barracks/Base/Headquarters/Checkpost;U.S. Military Annex Exchange;Turkish People's Liberation Army;Explosives/Bombs/Dynamite;Explosive;0
1970;11;10;10.11.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Facility/Infrastructure Attack;Airports & Aircraft;Airline Officer/Personnel;Pan Am Office;Unknown;Incendiary;Incendiary;0
1970;11;21;21.11.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Government (Diplomatic);Embassy/Consulate;U.S. Embassy;Turkish People's Liberation Army;Explosives/Bombs/Dynamite;Dynamite;0
1970;11;23;23.11.1970;Turkey;Ankara;Ankara;39.918392;32.865597;;;0;1;0;Bombing/Explosion;Government (Diplomatic);Embassy/Consulate;Portuguese Embassy;Unknown;Explosives/Bombs/Dynamite;Explosive;
